Freq.	V(vin)
1.00000000000000e-003	(-3.04576187692480e+001dB,-1.92835942360776e-012°)
1.02329299228075e-003	(-3.04576187692480e+001dB,-1.97327668476273e-012°)
1.04712854805090e-003	(-3.04576187692480e+001dB,-2.01924020347300e-012°)
1.07151930523761e-003	(-3.04576187692480e+001dB,-2.06627434977457e-012°)
1.09647819614318e-003	(-3.04576187692480e+001dB,-2.11440406205149e-012°)
1.12201845430196e-003	(-3.04576187692480e+001dB,-2.16365485942340e-012°)
1.14815362149688e-003	(-3.04576187692480e+001dB,-2.21405285564746e-012°)
1.17489755493953e-003	(-3.04576187692480e+001dB,-2.26562477141183e-012°)
1.20226443461741e-003	(-3.04576187692480e+001dB,-2.31839795192566e-012°)
1.23026877081238e-003	(-3.04576187692480e+001dB,-2.37240037708554e-012°)
1.25892541179417e-003	(-3.04576187692480e+001dB,-2.42766068077495e-012°)
1.28824955169313e-003	(-3.04576187692480e+001dB,-2.48420816226314e-012°)
1.31825673855641e-003	(-3.04576187692480e+001dB,-2.54207280372637e-012°)
1.34896288259165e-003	(-3.04576187692480e+001dB,-2.60128528575444e-012°)
1.38038426460288e-003	(-3.04576187692480e+001dB,-2.66187700392020e-012°)
1.41253754462275e-003	(-3.04576187692480e+001dB,-2.72388008409856e-012°)
1.44543977074593e-003	(-3.04576187692480e+001dB,-2.78732740187725e-012°)
1.47910838816821e-003	(-3.04576187692480e+001dB,-2.85225259754563e-012°)
1.51356124843621e-003	(-3.04576187692480e+001dB,-2.91869009507733e-012°)
1.54881661891248e-003	(-3.04576187692480e+001dB,-2.98667512074476e-012°)
1.58489319246111e-003	(-3.04576187692480e+001dB,-3.05624372120889e-012°)
1.62181009735893e-003	(-3.04576187692480e+001dB,-3.12743278238364e-012°)
1.65958690743756e-003	(-3.04576187692480e+001dB,-3.20028004983533e-012°)
1.69824365246174e-003	(-3.04576187692480e+001dB,-3.27482414824246e-012°)
1.73780082874937e-003	(-3.04576187692480e+001dB,-3.35110460164698e-012°)
1.77827941003892e-003	(-3.04576187692480e+001dB,-3.42916185504218e-012°)
1.81970085860998e-003	(-3.04576187692480e+001dB,-3.50903729568549e-012°)
1.86208713666287e-003	(-3.04576187692480e+001dB,-3.59077327381912e-012°)
1.90546071796324e-003	(-3.04576187692480e+001dB,-3.67441312776490e-012°)
1.94984459975804e-003	(-3.04576187692480e+001dB,-3.76000120412629e-012°)
1.99526231496888e-003	(-3.04576187692480e+001dB,-3.84758288280913e-012°)
2.04173794466953e-003	(-3.04576187692480e+001dB,-3.93720460093686e-012°)
2.08929613085404e-003	(-3.04576187692480e+001dB,-4.02891387685356e-012°)
2.13796208950223e-003	(-3.04576187692480e+001dB,-4.12275933627053e-012°)
2.18776162394955e-003	(-3.04576187692480e+001dB,-4.21879073732859e-012°)
2.23872113856834e-003	(-3.04576187692480e+001dB,-4.31705899695604e-012°)
2.29086765276777e-003	(-3.04576187692480e+001dB,-4.41761621852964e-012°)
2.34422881531992e-003	(-3.04576187692480e+001dB,-4.52051571858200e-012°)
2.39883291901949e-003	(-3.04576187692480e+001dB,-4.62581205515116e-012°)
2.45470891568503e-003	(-3.04576187692480e+001dB,-4.73356105950594e-012°)
2.51188643150958e-003	(-3.04576187692480e+001dB,-4.84381986014853e-012°)
2.57039578276886e-003	(-3.04576187692480e+001dB,-4.95664691829699e-012°)
2.63026799189538e-003	(-3.04576187692480e+001dB,-5.07210205566211e-012°)
2.69153480392691e-003	(-3.04576187692480e+001dB,-5.19024648919294e-012°)
2.75422870333816e-003	(-3.04576187692480e+001dB,-5.31114285975216e-012°)
2.81838293126445e-003	(-3.04576187692480e+001dB,-5.43485526842532e-012°)
2.88403150312660e-003	(-3.04576187692480e+001dB,-5.56144930915129e-012°)
2.95120922666638e-003	(-3.04576187692480e+001dB,-5.69099210436900e-012°)
3.01995172040201e-003	(-3.04576187692480e+001dB,-5.82355233862242e-012°)
3.09029543251358e-003	(-3.04576187692480e+001dB,-5.95920029660420e-012°)
3.16227766016837e-003	(-3.04576187692480e+001dB,-6.09800790230505e-012°)
3.23593656929628e-003	(-3.04576187692480e+001dB,-6.24004875151611e-012°)
3.31131121482590e-003	(-3.04576187692480e+001dB,-6.38539815796753e-012°)
3.38844156139202e-003	(-3.04576187692480e+001dB,-6.53413318680342e-012°)
3.46736850452531e-003	(-3.04576187692480e+001dB,-6.68633269869626e-012°)
3.54813389233575e-003	(-3.04576187692480e+001dB,-6.84207739318237e-012°)
3.63078054770101e-003	(-3.04576187692480e+001dB,-7.00144984756434e-012°)
3.71535229097172e-003	(-3.04576187692480e+001dB,-7.16453456260666e-012°)
3.80189396320560e-003	(-3.04576187692480e+001dB,-7.33141800878357e-012°)
