Freq.	V(in)	V(out)
1.00000000000000e-01	(-2.39258976012188e+01dB,-9.89382311690546e-14°)	(-4.79792937902717e+01dB,8.64047257579304e+01°)
1.25892541179417e-01	(-2.39258976012188e+01dB,-1.24593478343164e-13°)	(-4.59892710334139e+01dB,8.54772849843631e+01°)
1.58489319246111e-01	(-2.39258976012188e+01dB,-1.56928524005289e-13°)	(-4.40050370960530e+01dB,8.43131323193667e+01°)
1.99526231496888e-01	(-2.39258976012188e+01dB,-1.97708821722946e-13°)	(-4.20299079699726e+01dB,8.28543344144924e+01°)
2.51188643150958e-01	(-2.39258976012188e+01dB,-2.49190685823943e-13°)	(-4.00690362011052e+01dB,8.10311880202948e+01°)
3.16227766016838e-01	(-2.39258976012188e+01dB,-3.14277935630297e-13°)	(-3.81303370690840e+01dB,7.87621575758875e+01°)
3.98107170553497e-01	(-2.39258976012188e+01dB,-3.96740712425636e-13°)	(-3.62257540349892e+01dB,7.59563072033540e+01°)
5.01187233627272e-01	(-2.39258976012188e+01dB,-5.01520369614130e-13°)	(-3.43728124298117e+01dB,7.25205105510326e+01°)
6.30957344480193e-01	(-2.39258976012188e+01dB,-6.35138885812654e-13°)	(-3.25961405416379e+01dB,6.83745335922888e+01°)
7.94328234724282e-01	(-2.39258976012188e+01dB,-8.06197962091584e-13°)	(-3.09281265657772e+01dB,6.34766192584904e+01°)
1.00000000000000e+00	(-2.39258976012187e+01dB,-1.02587745884100e-12°)	(-2.94072525404937e+01dB,5.78580883161033e+01°)
1.25892541179417e+00	(-2.39258976012187e+01dB,-1.30826612150929e-12°)	(-2.80725618295752e+01dB,5.16557809949776e+01°)
1.58489319246111e+00	(-2.39258976012187e+01dB,-1.67043249010777e-12°)	(-2.69543193118403e+01dB,4.51200574664019e+01°)
1.99526231496888e+00	(-2.39258976012187e+01dB,-2.13249373496168e-12°)	(-2.60643250312498e+01dB,3.85781059041399e+01°)
2.51188643150958e+00	(-2.39258976012186e+01dB,-2.71828161436765e-12°)	(-2.53915812949226e+01dB,3.23586350883896e+01°)
3.16227766016838e+00	(-2.39258976012186e+01dB,-3.45699078016299e-12°)	(-2.49063406972687e+01dB,2.67157426344684e+01°)
3.98107170553498e+00	(-2.39258976012185e+01dB,-4.38556905896696e-12°)	(-2.45696986038824e+01dB,2.17904884581602e+01°)
5.01187233627273e+00	(-2.39258976012183e+01dB,-5.55137755263239e-12°)	(-2.43430289207239e+01dB,1.76175368646396e+01°)
6.30957344480194e+00	(-2.39258976012181e+01dB,-7.01499199653956e-12°)	(-2.41936729421537e+01dB,1.41571487805543e+01°)
7.94328234724282e+00	(-2.39258976012177e+01dB,-8.85339577828914e-12°)	(-2.40967223820801e+01dB,1.13299746465353e+01°)
1.00000000000000e+01	(-2.39258976012171e+01dB,-1.11639292269737e-11°)	(-2.40344180332559e+01dB,9.04303481646376e+00°)
1.25892541179417e+01	(-2.39258976012162e+01dB,-1.40693259029090e-11°)	(-2.39946417132332e+01dB,7.20514912135044e+00°)
1.58489319246112e+01	(-2.39258976012147e+01dB,-1.77241428047484e-11°)	(-2.39693558015206e+01dB,5.73437584903246e+00°)
1.99526231496888e+01	(-2.39258976012124e+01dB,-2.23229256834473e-11°)	(-2.39533253852311e+01dB,4.56057164681065e+00°)
2.51188643150958e+01	(-2.39258976012087e+01dB,-2.81105324483424e-11°)	(-2.39431803462223e+01dB,3.62539079703114e+00°)
3.16227766016838e+01	(-2.39258976012028e+01dB,-3.53951523594596e-11°)	(-2.39367670441216e+01dB,2.88113873347762e+00°)
3.98107170553498e+01	(-2.39258976011935e+01dB,-4.45647079404376e-11°)	(-2.39327156456714e+01dB,2.28924397717839e+00°)
5.01187233627273e+01	(-2.39258976011788e+01dB,-5.61075086460357e-11°)	(-2.39301574400461e+01dB,1.81872064818730e+00°)
6.30957344480194e+01	(-2.39258976011554e+01dB,-7.06382544363452e-11°)	(-2.39285425457000e+01dB,1.44478029726849e+00°)
7.94328234724283e+01	(-2.39258976011183e+01dB,-8.89307709204223e-11°)	(-2.39275233071612e+01dB,1.14764408290054e+00°)
1.00000000000000e+02	(-2.39258976010595e+01dB,-1.11959225258425e-10°)	(-2.39268800879664e+01dB,9.11556067619957e-01°)
1.25892541179417e+02	(-2.39258976009664e+01dB,-1.40950015677857e-10°)	(-2.39264741949844e+01dB,7.23977629813849e-01°)
1.58489319246112e+02	(-2.39258976008189e+01dB,-1.77447105243793e-10°)	(-2.39262180741721e+01dB,5.74936543651069e-01°)
1.99526231496888e+02	(-2.39258976005850e+01dB,-2.23394292652186e-10°)	(-2.39260564648801e+01dB,4.56504355110013e-01°)
2.51188643150958e+02	(-2.39258976002143e+01dB,-2.81238821603927e-10°)	(-2.39259544928792e+01dB,3.62378392725153e-01°)
3.16227766016839e+02	(-2.39258975996269e+01dB,-3.54061907062344e-10°)	(-2.39258901511308e+01dB,2.87548248272654e-01°)
3.98107170553498e+02	(-2.39258975986958e+01dB,-4.45743194794505e-10°)	(-2.39258495528958e+01dB,2.28030017553959e-01°)
5.01187233627273e+02	(-2.39258975972201e+01dB,-5.61168149811267e-10°)	(-2.39258239356056e+01dB,1.80654675976432e-01°)
6.30957344480194e+02	(-2.39258975948813e+01dB,-7.06489761473045e-10°)	(-2.39258077699860e+01dB,1.42899583605307e-01°)
7.94328234724283e+02	(-2.39258975911784e+01dB,-8.89459290069840e-10°)	(-2.39257975667754e+01dB,1.12754279299289e-01°)
1.00000000000000e+03	(-2.39258975852999e+01dB,-1.11984511397614e-09°)	(-2.39257911236297e+01dB,8.86134834404709e-02°)
