date , Sv , C 
Wed Sep 25 14:40:28 2019, 43.52, 795.0
Wed Sep 25 14:40:55 2019, 43.31, 795.0
Fri Nov 22 18:03:48 2019, 0.00, 780.0
Fri Nov 22 18:04:27 2019, 0.00, 780.0
Fri Nov 22 18:19:16 2019, 0.00, 780.0
Fri Nov 22 18:19:44 2019, 0.00, 780.0
Fri Nov 22 18:33:09 2019, 30.54, 780.0
Fri Nov 22 18:33:41 2019, 37.47, 780.0
Fri Nov 22 18:34:11 2019, 41.05, 780.0
Fri Nov 22 18:34:36 2019, 31.98, 780.0
Fri Nov 22 18:35:05 2019, 32.26, 780.0
Fri Nov 22 18:35:34 2019, 42.34, 780.0
Fri Nov 22 18:37:11 2019, 46.49, 780.0
