Freq.	V(vin)	V(vout)
1.00000000000000e-003	2.99998485007330e-002,-1.00968153422163e-015	-3.31625943833701e-009,-7.53977621565858e-005
1.02329299228075e-003	2.99998485007330e-002,-1.03320003839713e-015	-3.47254993043852e-009,-7.71540016428868e-005
1.04712854805090e-003	2.99998485007330e-002,-1.05726635898108e-015	-3.63620616648891e-009,-7.89511492015851e-005
1.07151930523761e-003	2.99998485007330e-002,-1.08189325603003e-015	-3.80757528330410e-009,-8.07901577040664e-005
1.09647819614318e-003	2.99998485007330e-002,-1.10709378718542e-015	-3.98702077775372e-009,-8.26720022169405e-005
1.12201845430196e-003	2.99998485007330e-002,-1.13288131415955e-015	-4.17492327778722e-009,-8.45976805190340e-005
1.14815362149688e-003	2.99998485007330e-002,-1.15926951001466e-015	-4.37168134979623e-009,-8.65682136304256e-005
1.17489755493953e-003	2.99998485007330e-002,-1.18627236559970e-015	-4.57771234402783e-009,-8.85846463538042e-005
1.20226443461741e-003	2.99998485007330e-002,-1.21390419876037e-015	-4.79345327983963e-009,-9.06480478284370e-005
1.23026877081238e-003	2.99998485007330e-002,-1.24217965966232e-015	-5.01936177267686e-009,-9.27595120970412e-005
1.25892541179417e-003	2.99998485007330e-002,-1.27111374089614e-015	-5.25591700473603e-009,-9.49201586858594e-005
1.28824955169313e-003	2.99998485007330e-002,-1.30072178344588e-015	-5.50362074137482e-009,-9.71311331982467e-005
1.31825673855641e-003	2.99998485007330e-002,-1.33101948586303e-015	-5.76299839542257e-009,-9.93936079220851e-005
1.34896288259165e-003	2.99998485007330e-002,-1.36202291238573e-015	-6.03460014165277e-009,-1.01708782451345e-004
1.38038426460288e-003	2.99998485007330e-002,-1.39374850161446e-015	-6.31900208377626e-009,-1.04077884322127e-004
1.41253754462275e-003	2.99998485007330e-002,-1.42621307453304e-015	-6.61680747643514e-009,-1.06502169663514e-004
1.44543977074593e-003	2.99998485007330e-002,-1.45943384467204e-015	-6.92864800478600e-009,-1.08982923863591e-004
1.47910838816821e-003	2.99998485007330e-002,-1.49342842595681e-015	-7.25518512438940e-009,-1.11521462250973e-004
1.51356124843621e-003	2.99998485007330e-002,-1.52821484264678e-015	-7.59711146424575e-009,-1.14119130792207e-004
1.54881661891248e-003	2.99998485007330e-002,-1.56381153908191e-015	-7.95515229595346e-009,-1.16777306805424e-004
1.58489319246111e-003	2.99998485007330e-002,-1.60023738915444e-015	-8.33006707210743e-009,-1.19497399690610e-004
1.62181009735893e-003	2.99998485007330e-002,-1.63751170618619e-015	-8.72265103720032e-009,-1.22280851676886e-004
1.65958690743756e-003	2.99998485007330e-002,-1.67565425360967e-015	-9.13373691444200e-009,-1.25129138587198e-004
1.69824365246174e-003	2.99998485007330e-002,-1.71468525515712e-015	-9.56419667207754e-009,-1.28043770620817e-004
1.73780082874937e-003	2.99998485007330e-002,-1.75462540546401e-015	-1.00149433729475e-008,-1.31026293154066e-004
1.77827941003892e-003	2.99998485007330e-002,-1.79549588137235e-015	-1.04869331112180e-008,-1.34078287559699e-004
1.81970085860998e-003	2.99998485007330e-002,-1.83731835309004e-015	-1.09811670403831e-008,-1.37201372045361e-004
1.86208713666287e-003	2.99998485007330e-002,-1.88011499504005e-015	-1.14986934968467e-008,-1.40397202511589e-004
1.90546071796324e-003	2.99998485007330e-002,-1.92390849900004e-015	-1.20406102235828e-008,-1.43667473429784e-004
1.94984459975804e-003	2.99998485007330e-002,-1.96872208468002e-015	-1.26080666985976e-008,-1.47013918740648e-004
1.99526231496888e-003	2.99998485007330e-002,-2.01457951282314e-015	-1.32022665731234e-008,-1.50438312773535e-004
2.04173794466953e-003	2.99998485007330e-002,-2.06150509772758e-015	-1.38244702247266e-008,-1.53942471187229e-004
2.08929613085404e-003	2.99998485007330e-002,-2.10952371981448e-015	-1.44759974307352e-008,-1.57528251932623e-004
2.13796208950223e-003	2.99998485007330e-002,-2.15866083931815e-015	-1.51582301676647e-008,-1.61197556237832e-004
2.18776162394955e-003	2.99998485007330e-002,-2.20894250940865e-015	-1.58726155425738e-008,-1.64952329616246e-004
