Freq.	V(vout+)-V(vout-)	V(vin)
1.00000000000000e-01	-3.33514413234398e-05,-5.52902646267218e-03	1.99998990004885e-02,-7.02723369029922e-14
1.02329299228075e-01	-3.49232196525411e-05,-5.65780714818304e-03	1.99998990004885e-02,-7.19091711577741e-14
1.04712854805090e-01	-3.65690710385452e-05,-5.78958702879207e-03	1.99998990004885e-02,-7.35841308498094e-14
1.07151930523761e-01	-3.82924861887835e-05,-5.92443592951154e-03	1.99998990004885e-02,-7.52981039227558e-14
1.09647819614319e-01	-4.00971202985998e-05,-6.06242529926867e-03	1.99998990004885e-02,-7.70519990230138e-14
1.12201845430196e-01	-4.19868008011227e-05,-6.20362824855144e-03	1.99998990004885e-02,-7.88467459202104e-14
1.14815362149688e-01	-4.39655354820490e-05,-6.34811958791828e-03	1.99998990004885e-02,-8.06832961034843e-14
1.17489755493953e-01	-4.60375209766179e-05,-6.49597586739105e-03	1.99998990004885e-02,-8.25626231326718e-14
1.20226443461741e-01	-4.82071516667723e-05,-6.64727541675073e-03	1.99998990004885e-02,-8.44857232822652e-14
1.23026877081238e-01	-5.04790289973315e-05,-6.80209838675602e-03	1.99998990004885e-02,-8.64536160082551e-14
1.25892541179417e-01	-5.28579712309016e-05,-6.96052679130487e-03	1.99998990004885e-02,-8.84673445251827e-14
1.28824955169313e-01	-5.53490236621691e-05,-7.12264455056004e-03	1.99998990004885e-02,-9.05279763046937e-14
1.31825673855641e-01	-5.79574693131888e-05,-7.28853753505968e-03	1.99998990004884e-02,-9.26366036978408e-14
1.34896288259165e-01	-6.06888401322996e-05,-7.45829361083440e-03	1.99998990004884e-02,-9.47943444638839e-14
1.38038426460288e-01	-6.35489287203688e-05,-7.63200268555295e-03	1.99998990004884e-02,-9.70023423932968e-14
1.41253754462275e-01	-6.65438006091611e-05,-7.80975675571880e-03	1.99998990004884e-02,-9.92617679044843e-14
1.44543977074593e-01	-6.96798071178119e-05,-7.99164995494036e-03	1.99998990004884e-02,-1.01573818682942e-13
1.47910838816821e-01	-7.29635988145935e-05,-8.17777860329799e-03	1.99998990004884e-02,-1.03939720263485e-13
1.51356124843621e-01	-7.64021396124394e-05,-8.36824125783153e-03	1.99998990004884e-02,-1.06360726713790e-13
1.54881661891248e-01	-8.00027215280359e-05,-8.56313876417206e-03	1.99998990004884e-02,-1.08838121326278e-13
