Freq.	V(vout+)-V(vout-)
1.00000000000000e-003	(-3.19974242901187e+001dB,-9.12957827184008e+001°)
1.02329299228075e-003	(-3.17975289561310e+001dB,-9.13259547225602e+001°)
1.04712854805090e-003	(-3.15976385521970e+001dB,-9.13568287614440e+001°)
1.07151930523761e-003	(-3.13977533104022e+001dB,-9.13884211331182e+001°)
1.09647819614318e-003	(-3.11978734737450e+001dB,-9.14207485113924e+001°)
1.12201845430196e-003	(-3.09979992966483e+001dB,-9.14538279542944e+001°)
1.14815362149688e-003	(-3.07981310454954e+001dB,-9.14876769127226e+001°)
1.17489755493953e-003	(-3.05982689991907e+001dB,-9.15223132392789e+001°)
1.20226443461741e-003	(-3.03984134497468e+001dB,-9.15577551972845e+001°)
1.23026877081238e-003	(-3.01985647028985e+001dB,-9.15940214699813e+001°)
1.25892541179417e-003	(-2.99987230787459e+001dB,-9.16311311699223e+001°)
1.28824955169313e-003	(-2.97988889124269e+001dB,-9.16691038485519e+001°)
1.31825673855641e-003	(-2.95990625548218e+001dB,-9.17079595059802e+001°)
1.34896288259165e-003	(-2.93992443732899e+001dB,-9.17477186009529e+001°)
1.38038426460288e-003	(-2.91994347524402e+001dB,-9.17884020610189e+001°)
1.41253754462275e-003	(-2.89996340949391e+001dB,-9.18300312928988e+001°)
1.44543977074593e-003	(-2.87998428223541e+001dB,-9.18726281930548e+001°)
1.47910838816821e-003	(-2.86000613760377e+001dB,-9.19162151584654e+001°)
1.51356124843621e-003	(-2.84002902180515e+001dB,-9.19608150976061e+001°)
1.54881661891248e-003	(-2.82005298321336e+001dB,-9.20064514416375e+001°)
1.58489319246111e-003	(-2.80007807247108e+001dB,-9.20531481558021e+001°)
1.62181009735893e-003	(-2.78010434259570e+001dB,-9.21009297510325e+001°)
1.65958690743756e-003	(-2.76013184909009e+001dB,-9.21498212957696e+001°)
1.69824365246174e-003	(-2.74016065005851e+001dB,-9.21998484279934e+001°)
1.73780082874937e-003	(-2.72019080632776e+001dB,-9.22510373674667e+001°)
1.77827941003892e-003	(-2.70022238157403e+001dB,-9.23034149281904e+001°)
1.81970085860998e-003	(-2.68025544245549e+001dB,-9.23570085310727e+001°)
1.86208713666287e-003	(-2.66029005875102e+001dB,-9.24118462168091e+001°)
1.90546071796324e-003	(-2.64032630350526e+001dB,-9.24679566589742e+001°)
1.94984459975804e-003	(-2.62036425318035e+001dB,-9.25253691773229e+001°)
1.99526231496888e-003	(-2.60040398781462e+001dB,-9.25841137513001e+001°)
2.04173794466953e-003	(-2.58044559118842e+001dB,-9.26442210337557e+001°)
2.08929613085404e-003	(-2.56048915099767e+001dB,-9.27057223648625e+001°)
2.13796208950223e-003	(-2.54053475903519e+001dB,-9.27686497862334e+001°)
2.18776162394955e-003	(-2.52058251138036e+001dB,-9.28330360552346e+001°)
2.23872113856834e-003	(-2.50063250859731e+001dB,-9.28989146594882e+001°)
2.29086765276777e-003	(-2.48068485594211e+001dB,-9.29663198315614e+001°)
2.34422881531992e-003	(-2.46073966357941e+001dB,-9.30352865638325e+001°)
2.39883291901949e-003	(-2.44079704680873e+001dB,-9.31058506235304e+001°)
2.45470891568503e-003	(-2.42085712630098e+001dB,-9.31780485679358e+001°)
2.51188643150958e-003	(-2.40092002834567e+001dB,-9.32519177597376e+001°)
2.57039578276886e-003	(-2.38098588510913e+001dB,-9.33274963825325e+001°)
2.63026799189538e-003	(-2.36105483490426e+001dB,-9.34048234564582e+001°)
2.69153480392691e-003	(-2.34112702247237e+001dB,-9.34839388539446e+001°)
2.75422870333816e-003	(-2.32120259927753e+001dB,-9.35648833155723e+001°)
2.81838293126445e-003	(-2.30128172381393e+001dB,-9.36476984660208e+001°)
2.88403150312660e-003	(-2.28136456192686e+001dB,-9.37324268300891e+001°)
2.95120922666638e-003	(-2.26145128714788e+001dB,-9.38191118487719e+001°)
3.01995172040201e-003	(-2.24154208104460e+001dB,-9.39077978953684e+001°)
3.09029543251358e-003	(-2.22163713358586e+001dB,-9.39985302916029e+001°)
3.16227766016837e-003	(-2.20173664352281e+001dB,-9.40913553237325e+001°)
3.23593656929628e-003	(-2.18184081878648e+001dB,-9.41863202586143e+001°)
3.31131121482590e-003	(-2.16194987690265e+001dB,-9.42834733597034e+001°)
3.38844156139202e-003	(-2.14206404542448e+001dB,-9.43828639029512e+001°)
3.46736850452531e-003	(-2.12218356238373e+001dB,-9.44845421925674e+001°)
3.54813389233575e-003	(-2.10230867676124e+001dB,-9.45885595766116e+001°)
3.63078054770101e-003	(-2.08243964897735e+001dB,-9.46949684623709e+001°)
3.71535229097172e-003	(-2.06257675140302e+001dB,-9.48038223314835e+001°)
3.80189396320560e-003	(-2.04272026889240e+001dB,-9.49151757547589e+001°)
3.89045144994280e-003	(-2.02287049933761e+001dB,-9.50290844066456e+001°)
3.98107170553496e-003	(-2.00302775424652e+001dB,-9.51456050792916e+001°)
4.07380277804112e-003	(-1.98319235934433e+001dB,-9.52647956961385e+001°)
4.16869383470334e-003	(-1.96336465519969e+001dB,-9.53867153249879e+001°)
4.26579518801592e-003	(-1.94354499787621e+001dB,-9.55114241904706e+001°)
4.36515832240165e-003	(-1.92373375961030e+001dB,-9.56389836858483e+001°)
4.46683592150962e-003	(-1.90393132951586e+001dB,-9.57694563840681e+001°)
4.57088189614874e-003	(-1.88413811431698e+001dB,-9.59029060479885e+001°)
4.67735141287197e-003	(-1.86435453910926e+001dB,-9.60393976396870e+001°)
4.78630092322637e-003	(-1.84458104815060e+001dB,-9.61789973287550e+001°)
4.89778819368445e-003	(-1.82481810568238e+001dB,-9.63217724994778e+001°)
5.01187233627271e-003	(-1.80506619678165e+001dB,-9.64677917567928e+001°)
5.12861383991363e-003	(-1.78532582824526e+001dB,-9.66171249309095e+001°)
5.24807460249771e-003	(-1.76559752950661e+001dB,-9.67698430804699e+001°)
5.37031796370251e-003	(-1.74588185358576e+001dB,-9.69260184941176e+001°)
5.49540873857623e-003	(-1.72617937807358e+001dB,-9.70857246903387e+001°)
5.62341325190347e-003	(-1.70649070615059e+001dB,-9.72490364154259e+001°)
5.75439937337155e-003	(-1.68681646764115e+001dB,-9.74160296394115e+001°)
5.88843655355587e-003	(-1.66715732010335e+001dB,-9.75867815498028e+001°)
6.02559586074356e-003	(-1.64751394995534e+001dB,-9.77613705429473e+001°)
6.16595001861480e-003	(-1.62788707363820e+001dB,-9.79398762128410e+001°)
6.30957344480191e-003	(-1.60827743881588e+001dB,-9.81223793371879e+001°)
6.45654229034654e-003	(-1.58868582561222e+001dB,-9.83089618605033e+001°)
6.60693448007594e-003	(-1.56911304788520e+001dB,-9.84997068740471e+001°)
6.76082975391980e-003	(-1.54955995453844e+001dB,-9.86946985923591e+001°)
6.91830970918934e-003	(-1.53002743086953e+001dB,-9.88940223261590e+001°)
7.07945784384136e-003	(-1.51051639995500e+001dB,-9.90977644513623e+001°)
7.24435960074988e-003	(-1.49102782407135e+001dB,-9.93060123739499e+001°)
7.41310241300915e-003	(-1.47156270615124e+001dB,-9.95188544904216e+001°)
7.58577575029181e-003	(-1.45212209127400e+001dB,-9.97363801435472e+001°)
7.76247116628689e-003	(-1.43270706818925e+001dB,-9.99586795731221e+001°)
7.94328234724279e-003	(-1.41331877087191e+001dB,-1.00185843861421e+002°)
8.12830516164097e-003	(-1.39395838010712e+001dB,-1.00417964873030e+002°)
8.31763771102668e-003	(-1.37462712510264e+001dB,-1.00655135188737e+002°)
8.51138038202373e-003	(-1.35532628512655e+001dB,-1.00897448033130e+002°)
8.70963589956078e-003	(-1.33605719116718e+001dB,-1.01144997195571e+002°)
8.91250938133742e-003	(-1.31682122761216e+001dB,-1.01397876944185e+002°)
9.12010839355906e-003	(-1.29761983394284e+001dB,-1.01656181932494e+002°)
9.33254300796988e-003	(-1.27845450643999e+001dB,-1.01920007098344e+002°)
9.54992586021432e-003	(-1.25932679989600e+001dB,-1.02189447554740e+002°)
9.77237220955807e-003	(-1.24023832932855e+001dB,-1.02464598472219e+002°)
9.99999999999996e-003	(-1.22119077168976e+001dB,-1.02745554952390e+002°)
